timestamp,traffic
2018-02-28 11:42:58," 72
"
2018-02-28 11:43:03," 72
"
2018-02-28 11:43:08," 72
"
2018-02-28 11:43:13," 72
"
2018-02-28 11:43:19," 72
"
2018-02-28 11:43:24," 72
"
2018-02-28 11:43:29," 72
"
2018-02-28 11:43:34," 72
"
2018-02-28 11:43:39," 72
"
2018-02-28 11:43:44," 72
"
2018-02-28 11:43:49," 72
"
2018-02-28 11:43:54," 72
"
2018-02-28 11:43:59," 72
"
2018-02-28 11:44:04," 72
"
2018-02-28 11:44:09," 72
"
2018-02-28 11:44:14," 72
"
2018-02-28 11:44:20," 72
"
2018-02-28 11:44:25," 72
"
2018-02-28 11:44:30," 72
"
2018-02-28 11:44:35," 72
"
2018-02-28 11:44:40," 72
"
2018-02-28 11:44:45," 72
"
2018-02-28 11:44:50," 72
"
2018-02-28 11:44:55," 72
"
2018-02-28 11:45:00," 72
"
2018-02-28 11:45:05," 72
"
2018-02-28 11:45:10," 72
"
2018-02-28 11:45:15," 72
"
2018-02-28 11:45:21," 72
"
2018-02-28 11:45:26," 72
"
2018-02-28 11:45:31," 72
"
2018-02-28 11:45:36," 72
"
2018-02-28 11:45:41," 72
"
2018-02-28 11:45:46," 72
"
2018-02-28 11:45:51," 72
"
2018-02-28 11:45:56," 72
"
2018-02-28 11:46:01," 72
"
2018-02-28 11:46:06," 72
"
2018-02-28 11:46:11," 72
"
2018-02-28 11:46:17," 72
"
2018-02-28 11:46:22," 72
"
2018-02-28 11:46:27," 72
"
2018-02-28 11:46:32," 72
"
2018-02-28 11:46:37," 72
"
2018-02-28 11:46:42," 72
"
2018-02-28 11:46:47," 72
"
2018-02-28 11:46:52," 72
"
2018-02-28 11:46:57," 72
"
2018-02-28 11:47:02," 72
"
2018-02-28 11:47:07," 72
"
2018-02-28 11:47:12," 72
"
2018-02-28 11:47:17," 72
"
2018-02-28 11:47:22," 72
"
2018-02-28 11:47:27," 72
"
2018-02-28 11:47:33," 72
"
2018-02-28 11:47:38," 72
"
2018-02-28 11:47:43," 72
"
2018-02-28 11:47:48," 72
"
2018-02-28 11:47:53," 72
"
2018-02-28 11:47:58," 72
"
2018-02-28 11:48:03," 72
"
2018-02-28 11:48:08," 72
"
2018-02-28 11:48:13," 72
"
2018-02-28 11:48:18," 72
"
2018-02-28 11:48:24," 72
"
2018-02-28 11:48:29," 72
"
2018-02-28 11:48:34," 72
"
2018-02-28 11:48:39," 72
"
2018-02-28 11:48:44," 72
"
2018-02-28 11:48:49," 72
"
2018-02-28 11:48:54," 72
"
2018-02-28 11:48:59," 72
"
2018-02-28 11:49:04," 72
"
2018-02-28 11:49:10," 72
"
2018-02-28 11:49:15," 72
"
2018-02-28 11:49:20," 72
"
2018-02-28 11:49:25," 72
"
2018-02-28 11:49:30," 72
"
2018-02-28 11:49:35," 72
"
2018-02-28 11:49:40," 72
"
2018-02-28 11:49:45," 72
"
2018-02-28 11:49:50," 72
"
2018-02-28 11:49:55," 72
"
2018-02-28 11:50:00," 72
"
2018-02-28 11:50:05," 72
"
2018-02-28 11:50:11," 72
"
2018-02-28 11:50:16," 72
"
2018-02-28 11:50:21," 72
"
2018-02-28 11:50:26," 72
"
2018-02-28 11:50:31," 72
"
2018-02-28 11:50:36," 72
"
2018-02-28 11:50:41," 72
"
2018-02-28 11:50:46," 72
"
2018-02-28 11:50:51," 72
"
2018-02-28 11:50:56," 72
"
2018-02-28 11:51:01," 72
"
2018-02-28 11:51:06," 72
"
2018-02-28 11:51:12," 72
"
2018-02-28 11:51:17," 72
"
2018-02-28 11:51:22," 72
"
